Essai	Type	Methode	TailleStructure	Time	Memory
1	ArrayList	Add	1000	0.08	51048	
2	ArrayList	Add	1000	0.07	53128	
3	ArrayList	Add	1000	0.08	55872	
4	ArrayList	Add	1000	0.07	52820	
5	ArrayList	Add	1000	0.07	52904	
6	ArrayList	Add	1000	0.07	54352	
7	ArrayList	Add	1000	0.08	53964	
8	ArrayList	Add	1000	0.08	51220	
9	ArrayList	Add	1000	0.05	53308	
10	ArrayList	Add	1000	0.09	51620	
1	ArrayList	Add	5000	0.07	53072	
2	ArrayList	Add	5000	0.08	55768	
3	ArrayList	Add	5000	0.07	53064	
4	ArrayList	Add	5000	0.06	54092	
5	ArrayList	Add	5000	0.09	53888	
6	ArrayList	Add	5000	0.08	49144	
7	ArrayList	Add	5000	0.07	49180	
8	ArrayList	Add	5000	0.09	51108	
9	ArrayList	Add	5000	0.10	52980	
10	ArrayList	Add	5000	0.08	55316	
1	ArrayList	Add	10000	0.09	51276	
2	ArrayList	Add	10000	0.07	49116	
3	ArrayList	Add	10000	0.08	53940	
4	ArrayList	Add	10000	0.06	54060	
5	ArrayList	Add	10000	0.09	49308	
6	ArrayList	Add	10000	0.08	54256	
7	ArrayList	Add	10000	0.09	49352	
8	ArrayList	Add	10000	0.08	55972	
9	ArrayList	Add	10000	0.07	49356	
10	ArrayList	Add	10000	0.10	51404	
1	ArrayList	Add	50000	0.09	56520	
2	ArrayList	Add	50000	0.09	51344	
3	ArrayList	Add	50000	0.09	49432	
4	ArrayList	Add	50000	0.09	49248	
5	ArrayList	Add	50000	0.11	49276	
6	ArrayList	Add	50000	0.10	52116	
7	ArrayList	Add	50000	0.10	49024	
8	ArrayList	Add	50000	0.08	51520	
9	ArrayList	Add	50000	0.10	53160	
10	ArrayList	Add	50000	0.09	56272	
1	ArrayList	Add	100000	0.11	53724	
2	ArrayList	Add	100000	0.11	53276	
3	ArrayList	Add	100000	0.10	56568	
4	ArrayList	Add	100000	0.12	51652	
5	ArrayList	Add	100000	0.10	55376	
6	ArrayList	Add	100000	0.10	53156	
7	ArrayList	Add	100000	0.13	51364	
8	ArrayList	Add	100000	0.11	53184	
9	ArrayList	Add	100000	0.12	60676	
10	ArrayList	Add	100000	0.12	53348	
1	ArrayList	Add	250000	0.10	61772	
2	ArrayList	Add	250000	0.12	59688	
3	ArrayList	Add	250000	0.13	57672	
4	ArrayList	Add	250000	0.14	59904	
5	ArrayList	Add	250000	0.11	57704	
6	ArrayList	Add	250000	0.12	60712	
7	ArrayList	Add	250000	0.12	62848	
8	ArrayList	Add	250000	0.12	60876	
9	ArrayList	Add	250000	0.11	57860	
10	ArrayList	Add	250000	0.12	58772	
1	ArrayList	Add	500000	0.14	67676	
2	ArrayList	Add	500000	0.11	66028	
3	ArrayList	Add	500000	0.14	67936	
4	ArrayList	Add	500000	0.14	72472	
5	ArrayList	Add	500000	0.11	66332	
6	ArrayList	Add	500000	0.15	68224	
7	ArrayList	Add	500000	0.14	64216	
8	ArrayList	Add	500000	0.15	65936	
9	ArrayList	Add	500000	0.15	71116	
10	ArrayList	Add	500000	0.13	65868	
1	ArrayList	Remove	1000	0.09	50636	
2	ArrayList	Remove	1000	0.09	50884	
3	ArrayList	Remove	1000	0.10	48892	
4	ArrayList	Remove	1000	0.07	52976	
5	ArrayList	Remove	1000	0.06	53832	
6	ArrayList	Remove	1000	0.08	48956	
7	ArrayList	Remove	1000	0.08	50972	
8	ArrayList	Remove	1000	0.08	53688	
9	ArrayList	Remove	1000	0.06	55968	
10	ArrayList	Remove	1000	0.08	49056	
1	ArrayList	Remove	5000	0.09	48956	
2	ArrayList	Remove	5000	0.09	54092	
3	ArrayList	Remove	5000	0.09	49216	
4	ArrayList	Remove	5000	0.07	48880	
5	ArrayList	Remove	5000	0.08	56096	
6	ArrayList	Remove	5000	0.09	51072	
7	ArrayList	Remove	5000	0.09	50924	
8	ArrayList	Remove	5000	0.07	56200	
9	ArrayList	Remove	5000	0.09	52988	
10	ArrayList	Remove	5000	0.07	51008	
1	ArrayList	Remove	10000	0.08	53416	
2	ArrayList	Remove	10000	0.08	49168	
3	ArrayList	Remove	10000	0.09	49264	
4	ArrayList	Remove	10000	0.10	49092	
5	ArrayList	Remove	10000	0.09	49196	
6	ArrayList	Remove	10000	0.08	51012	
7	ArrayList	Remove	10000	0.06	54436	
8	ArrayList	Remove	10000	0.10	56124	
9	ArrayList	Remove	10000	0.08	49176	
10	ArrayList	Remove	10000	0.09	50824	
1	ArrayList	Remove	50000	0.09	51632	
2	ArrayList	Remove	50000	0.12	56328	
3	ArrayList	Remove	50000	0.10	54104	
4	ArrayList	Remove	50000	0.10	56336	
5	ArrayList	Remove	50000	0.10	51080	
6	ArrayList	Remove	50000	0.09	54272	
7	ArrayList	Remove	50000	0.11	55116	
8	ArrayList	Remove	50000	0.11	53468	
9	ArrayList	Remove	50000	0.12	49252	
10	ArrayList	Remove	50000	0.09	51300	
1	ArrayList	Remove	100000	0.11	53468	
2	ArrayList	Remove	100000	0.12	53680	
3	ArrayList	Remove	100000	0.09	56336	
4	ArrayList	Remove	100000	0.10	51672	
5	ArrayList	Remove	100000	0.11	55332	
6	ArrayList	Remove	100000	0.12	55472	
7	ArrayList	Remove	100000	0.11	55484	
8	ArrayList	Remove	100000	0.11	53504	
9	ArrayList	Remove	100000	0.11	59252	
10	ArrayList	Remove	100000	0.11	51652	
1	ArrayList	Remove	250000	0.14	64756	
2	ArrayList	Remove	250000	0.13	64784	
3	ArrayList	Remove	250000	0.11	57444	
4	ArrayList	Remove	250000	0.14	55788	
5	ArrayList	Remove	250000	0.14	59736	
6	ArrayList	Remove	250000	0.12	57920	
7	ArrayList	Remove	250000	0.13	55772	
8	ArrayList	Remove	250000	0.12	55752	
9	ArrayList	Remove	250000	0.14	62948	
10	ArrayList	Remove	250000	0.13	64860	
1	ArrayList	Remove	500000	0.13	68252	
2	ArrayList	Remove	500000	0.14	69016	
3	ArrayList	Remove	500000	0.13	69848	
4	ArrayList	Remove	500000	0.12	68136	
5	ArrayList	Remove	500000	0.13	71080	
6	ArrayList	Remove	500000	0.12	65900	
7	ArrayList	Remove	500000	0.12	68040	
8	ArrayList	Remove	500000	0.14	66064	
9	ArrayList	Remove	500000	0.16	65944	
10	ArrayList	Remove	500000	0.13	64008	
1	ArrayList	Get	1000	0.07	48984	
2	ArrayList	Get	1000	0.07	51040	
3	ArrayList	Get	1000	0.07	48848	
4	ArrayList	Get	1000	0.10	50808	
5	ArrayList	Get	1000	0.09	49308	
6	ArrayList	Get	1000	0.08	51016	
7	ArrayList	Get	1000	0.08	55124	
8	ArrayList	Get	1000	0.08	51152	
9	ArrayList	Get	1000	0.08	50728	
10	ArrayList	Get	1000	0.08	50980	
1	ArrayList	Get	5000	0.09	53908	
2	ArrayList	Get	5000	0.08	53016	
3	ArrayList	Get	5000	0.09	53976	
4	ArrayList	Get	5000	0.08	52952	
5	ArrayList	Get	5000	0.09	49180	
6	ArrayList	Get	5000	0.09	55756	
7	ArrayList	Get	5000	0.09	53340	
8	ArrayList	Get	5000	0.07	50932	
9	ArrayList	Get	5000	0.08	49016	
10	ArrayList	Get	5000	0.07	56332	
1	ArrayList	Get	10000	0.08	53964	
2	ArrayList	Get	10000	0.10	51300	
3	ArrayList	Get	10000	0.09	49060	
4	ArrayList	Get	10000	0.08	53084	
5	ArrayList	Get	10000	0.08	55924	
