Essai	Type	Methode	TailleStructure	Time	Memory
1	ArrayList	Add	500000	0.14	67888	
2	ArrayList	Add	500000	0.13	73076	
3	ArrayList	Add	500000	0.13	67084	
4	ArrayList	Add	500000	0.13	68988	
5	ArrayList	Add	500000	0.12	71004	
6	ArrayList	Add	500000	0.11	70984	
7	ArrayList	Add	500000	0.16	70028	
8	ArrayList	Add	500000	0.14	67724	
9	ArrayList	Add	500000	0.13	69768	
10	ArrayList	Add	500000	0.13	64016	
1	ArrayList	Add	1000000	0.20	89944	
2	ArrayList	Add	1000000	0.20	91920	
3	ArrayList	Add	1000000	0.21	86772	
4	ArrayList	Add	1000000	0.17	84824	
5	ArrayList	Add	1000000	0.19	89672	
6	ArrayList	Add	1000000	0.16	84848	
7	ArrayList	Add	1000000	0.19	86548	
8	ArrayList	Add	1000000	0.18	89656	
9	ArrayList	Add	1000000	0.17	86604	
10	ArrayList	Add	1000000	0.20	87620	
1	ArrayList	Add	2500000	0.32	125828	
2	ArrayList	Add	2500000	0.36	130132	
3	ArrayList	Add	2500000	0.35	128180	
4	ArrayList	Add	2500000	0.35	128276	
5	ArrayList	Add	2500000	0.37	128168	
6	ArrayList	Add	2500000	0.35	127940	
7	ArrayList	Add	2500000	0.37	125992	
8	ArrayList	Add	2500000	0.34	128948	
9	ArrayList	Add	2500000	0.33	126116	
10	ArrayList	Add	2500000	0.35	130112	
1	ArrayList	Add	5000000	0.70	204276	
2	ArrayList	Add	5000000	0.74	204504	
3	ArrayList	Add	5000000	0.70	204492	
4	ArrayList	Add	5000000	0.67	204248	
5	ArrayList	Add	5000000	0.73	202224	
6	ArrayList	Add	5000000	0.70	204228	
7	ArrayList	Add	5000000	0.76	203384	
8	ArrayList	Add	5000000	0.72	202372	
9	ArrayList	Add	5000000	0.69	205312	
10	ArrayList	Add	5000000	0.73	204340	
1	ArrayList	Add	10000000	3.23	416572	
2	ArrayList	Add	10000000	2.93	420640	
3	ArrayList	Add	10000000	3.51	416640	
4	ArrayList	Add	10000000	3.66	421524	
5	ArrayList	Add	10000000	3.10	421636	
6	ArrayList	Add	10000000	3.47	420684	
7	ArrayList	Add	10000000	3.09	422660	
8	ArrayList	Add	10000000	3.55	416424	
9	ArrayList	Add	10000000	3.05	418784	
10	ArrayList	Add	10000000	3.53	420664	
1	ArrayList	Add	15000000	4.93	602200	
2	ArrayList	Add	15000000	4.39	593040	
3	ArrayList	Add	15000000	4.65	589204	
4	ArrayList	Add	15000000	4.66	600204	
5	ArrayList	Add	15000000	4.81	598120	
6	ArrayList	Add	15000000	4.88	598192	
7	ArrayList	Add	15000000	4.61	597460	
8	ArrayList	Add	15000000	4.72	593024	
9	ArrayList	Add	15000000	4.64	593308	
10	ArrayList	Add	15000000	4.77	598124	
1	ArrayList	Add	20000000	5.71	687352	
2	ArrayList	Add	20000000	6.02	689532	
3	ArrayList	Add	20000000	5.98	694516	
4	ArrayList	Add	20000000	5.76	696556	
5	ArrayList	Add	20000000	6.25	689596	
6	ArrayList	Add	20000000	6.12	692600	
7	ArrayList	Add	20000000	5.76	696688	
8	ArrayList	Add	20000000	6.17	691696	
9	ArrayList	Add	20000000	6.02	689644	
10	ArrayList	Add	20000000	6.05	694592	
1	ArrayList	Remove	500000	0.12	71104	
2	ArrayList	Remove	500000	0.13	67360	
3	ArrayList	Remove	500000	0.11	65972	
4	ArrayList	Remove	500000	0.12	66144	
5	ArrayList	Remove	500000	0.13	73240	
6	ArrayList	Remove	500000	0.12	66096	
7	ArrayList	Remove	500000	0.12	66224	
8	ArrayList	Remove	500000	0.11	68348	
9	ArrayList	Remove	500000	0.11	71224	
10	ArrayList	Remove	500000	0.10	66228	
1	ArrayList	Remove	1000000	0.19	90716	
2	ArrayList	Remove	1000000	0.20	85224	
3	ArrayList	Remove	1000000	0.18	84928	
4	ArrayList	Remove	1000000	0.17	88840	
5	ArrayList	Remove	1000000	0.17	88180	
6	ArrayList	Remove	1000000	0.18	86928	
7	ArrayList	Remove	1000000	0.19	88876	
8	ArrayList	Remove	1000000	0.20	85068	
9	ArrayList	Remove	1000000	0.19	85124	
